"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
4,Secure Configuration Baselines,,4.1,Do you maintain secure baseline configurations (manual or automated) for operating systems?,"Baselines should define approved services, local settings, authentication controls, logging, encryption, malware protection, and hardening requirements.",2,Yes|No|Inconsistent,,0,,,4.2 4.3 4.4||4.2 4.3 4.4,0
4,Secure Configuration Baselines,,4.2,Which operating system families have approved secure configuration baselines? Select one or more than one.,Select all operating system families for which a documented baseline exists.,5,Windows Server|Linux Server|Unix|Windows Workstations|macOS|Mobile operating systems|Cloud images|Container hosts|Other,,0,,,,0
4,Secure Configuration Baselines,,4.3,Are operating systems checked against the approved secure baseline?,"This can be performed through configuration management tools, compliance scanning, scripts, endpoint management, or manual reviews.",2,Yes|No|Inconsistent,,0,,,4.4||4.4,0
4,Secure Configuration Baselines,,4.4,What tools are used to manage baselines and checks?,"This can be performed through configuration management tools, compliance scanning, scripts, endpoint management, or manual reviews.",1, ,,0,,,,0
4,Secure Configuration Baselines,,4.5,Control - What evidence can you share with auditors to prove secure operating system configurations are defined and checked?,"Typical evidence includes hardening standards, configuration profiles, compliance reports, screenshots, scripts, or configuration review tickets.",1,,,0,,,,0
,,,,,,,,,,,,,
5,Third Parties,,5.1,Where are operating systems hosted?,"This should include unused services, insecure protocols, sample components, unnecessary packages, and unneeded administrative tools.",2,AWS|Azure|Google Cloud|Oracle Cloud|On-Premise|Other,,0,,, ,0
5,Third Parties,,5.2,Are these operating systems managed by staff in your organization or third parties?,"This should include default users, guest accounts, local administrator accounts, default passwords, sample credentials, and vendor defaults where applicable.",2,Staff|Third Party|Mix,,0,,,|5.3|5.3,0
5,Third Parties,,5.3,Are controls/contractual agreements in place with these third parties?,"Typical evidence includes baseline settings, configuration exports, compliance scan results, local policy screenshots, or hardening scripts.",1,,,0,,,,0
,,,,,,,,,,,,,
6,Operating System Access Control,,6.1,Is access to operating systems controlled using formal access management processes?,"Access should be requested, approved, assigned, reviewed, and revoked according to the organization access management process.",2,Yes|No|Inconsistent,,0,,,6.2 6.3 6.4 6.5||6.2 6.3 6.4 6.5,0
6,Operating System Access Control,,6.2,Do operating systems integrate with central authentication where technically feasible?,"Examples include Active Directory, LDAP, SSO, identity providers, privileged access management, or equivalent controls.",2,Yes|No|Inconsistent,,0,,,,0
6,Operating System Access Control,,6.3,Are administrative privileges restricted using least privilege?,"Administrative access should be limited to authorized users, assigned based on role, and reviewed periodically.",2,Yes|No|Inconsistent,,0,,,,0
6,Operating System Access Control,,6.4,Are shared or generic administrative accounts avoided or controlled?,"Shared or emergency accounts should be approved, protected, logged, and periodically reviewed.",2,Yes|No|Inconsistent,,0,,,,0
6,Operating System Access Control,,6.5,Are accounts on operating systems reviewed regularly?,"Typical evidence includes access reviews, administrator group exports, PAM reports, account lists, approval tickets, and termination access removal records.",2,Yes|No|Inconsistent,,0,,,,0
,,,,,,,,,,,,,
7,Patching and Vulnerability Management,,7.1,Are operating systems patched according to a defined patching and vulnerability management process?,"Security updates should be assessed, deployed, monitored, and reported within timeframes based on risk.",2,Yes|No|Inconsistent,,0,,,7.2 7.3||7.2 7.3,0
7,Patching and Vulnerability Management,,7.2,What tools are used to ensure operating system patches are deployed and tracked?,"Examples include endpoint management, server automation, package repositories, vulnerability scanners, cloud patching services, or manual patch records.",1,,,0,,,,0
7,Patching and Vulnerability Management,,7.3,Control - What evidence can you share with auditors to prove operating systems are patched and vulnerabilities are remediated?,"Typical evidence includes patch compliance reports, vulnerability scan reports, remediation tickets, exception records, and change records.",1,,,0,,,,0
,,,,,,,,,,,,,
8,Malware and Endpoint Protection,,8.1,Do operating systems have approved anti-malware or endpoint protection installed where applicable?,"Protection should apply to workstations, servers, and other systems where technically supported and appropriate.",2,Yes|No|Inconsistent,,0,,,8.2 8.3 8.4||8.2 8.3 8.4,0
8,Malware and Endpoint Protection,,8.2,What solution is used for malware protection?,Users and administrators should not be able to disable protection without approval and logging.,1, ,,0,,,,0
8,Malware and Endpoint Protection,,8.3,Which operating system groups are covered by malware or endpoint protection? Select one or more than one.,"Select every system group covered by anti-malware, EDR, endpoint protection, or equivalent technical controls.",5,Windows servers|Linux servers|Windows workstations|macOS workstations|Mobile devices|Cloud workloads|Container hosts|Other,,0,,,,0
8,Malware and Endpoint Protection,,8.4,Control - What evidence can you share with auditors to prove malware protection is deployed and active?,"Typical evidence includes endpoint protection console exports, agent deployment reports, policy screenshots, alert reports, and update status reports.",1,,,0,,,,0
,,,,,,,,,,,,,
9,Logging and Monitoring,,9.1,Do operating systems generate security and operational logs?,"Logs should include authentication events, privilege use, configuration changes, system events, and other relevant security events where technically feasible.",2,Yes|No|Inconsistent,,0,,,9.2 9.3 9.4||9.2 9.3 9.4,0
9,Logging and Monitoring,,9.2,Which operating system events are logged? Select one or more than one.,Select the events collected and available for security monitoring or investigation.,5,Authentication events|Privilege use|Configuration changes|Service changes|Process execution|System events|Patch events|Malware protection events|Other,,0,,,,0
9,Logging and Monitoring,,9.3,Are operating system logs forwarded to a centralized logging or monitoring platform?,"Examples include SIEM, log management platforms, cloud logging, EDR consoles, or centralized syslog services.",2,Yes|No|Inconsistent,,0,,,,0
9,Logging and Monitoring,,9.4,Control - What evidence can you share with auditors to prove operating system logging is implemented?,"Typical evidence includes log configuration screenshots, SIEM source lists, sample log events, forwarding configuration, and monitoring rules.",1,,,0,,,,0
9,Logging and Monitoring,,9.5,Are operating system logs reviewed regularly? (Manual or Automatic),,2,Yes|No|Inconsistent,,0,,,9.6||9.6,0
9,Logging and Monitoring,,9.6,Control - What evidence can you share with auditors to prove operating system logging is implemented?,,1,,,0,,,,0
,,,,,,,,,,,,,
10,Backup and Recovery,,10.1,Are operating systems backed up to support system recovery?,The policy reference indicates operating systems should be backed up at least weekly and retained for up to one month unless stricter requirements apply.,2,Yes|No|Inconsistent,,0,,,10.2 10.3 10.4||10.2 10.3 10.4,0
10,Backup and Recovery,,10.2,How frequently are operating system backups performed?,"Describe the backup frequency for servers, workstations, cloud workloads, and other relevant operating systems.",1,,,0,,,,0
10,Backup and Recovery,,10.3,Are operating system restore capabilities tested periodically?,Restore testing should confirm that operating systems can be recovered within business and technical requirements.,2,Yes|No|Inconsistent,,0,,,,0
10,Backup and Recovery,,10.4,Control - What evidence can you share with auditors to prove operating system backups and restore testing are performed?,"Typical evidence includes backup schedules, backup job reports, restore test records, retention settings, and encryption/storage configuration.",1,,,0,,,,0
,,,,,,,,,,,,,
11,Commissioning,,11.1,Are operating systems comissioned using manual or automated methods?,"External access should be justified and protected using appropriate controls such as firewalls, reverse proxies, VPNs, bastion hosts, or equivalent network controls.",2,Manual|Automated|Mix,,0,,,11.2 11.3 11.4||11.2 11.3 11.4,0
11,Commissioning,,11.2,What automated technologies are used?,"List externally reachable systems, their business purpose, owner, exposure method, and protection mechanism.",1,,,0,,,,0
11,Commissioning,,11.3,Are changes or control in place to control the comissioning of systems?,"Reviews should confirm business need, open ports, patch status, access controls, logging, and compensating controls.",2,Yes|No|Inconsistent,,0,,,,0
11,Commissioning,,11.4,Control - What evidence can you share with auditors in regards to the controlled comissioning of operating systems?,"Typical evidence includes firewall rules, exposure reviews, external scan results, approval tickets, architecture diagrams, and vulnerability reports.",1,,,0,,,,0
,,,,,,,,,,,,,
12,Configuration and Change Management,,12.1,Are operating system configuration changes managed through a formal change management process?,"This should include baseline changes, security setting changes, privilege changes, service changes, patching changes, and externally exposed configuration changes.",2,Yes|No|Inconsistent,,0,,,12.2 12.3||12.2 12.3,0
12,Configuration and Change Management,,12.2,Are operating system changes tested or reviewed before production deployment?,"Testing and review should consider business impact, security impact, rollback plan, and implementation timing.",2,Yes|No|Inconsistent,,0,,,,0
12,Configuration and Change Management,,12.3,Control - What evidence can you share with auditors to prove operating system changes are controlled?,"Typical evidence includes change tickets, approval records, implementation records, rollback plans, and post-change validation.",1,,,0,,,,0
,,,,,,,,,,,,,
13,Decommissioning and Retirement,,13.1,Are operating systems de-comissioned using manual or automated methods?,"Systems should be retired when they are no longer needed, unsupported, replaced, or no longer compliant with security requirements.",2,Manual|Automated|Mix,,0,,,13.2 13.3||13.2 13.3,0
13,Decommissioning and Retirement,,13.2,Are there approvals in place to control the de-comissioning of systems?,"Access should be removed from local accounts, directory groups, administrative tools, management platforms, and related services.",2,Yes|No|Inconsistent,,0,,,,0
13,Decommissioning and Retirement,,13.3,Control - What evidence can you share with auditors to prove operating systems are decommissioned properly?,"Typical evidence includes decommissioning tickets, access revocation records, inventory updates, backup disposition records, and data handling records.",1,,,0,,,,0
,,,,,,,,,,,,,
14,Monitoring,,14.1,"Is there real-time monitoring (CPU, Memory, Etc) in place?",,2,Yes|No|Inconsistent,,0,,,14.2 14.3 14.4||14.2 14.3 14.4,0
14,Monitoring,,14.2,What tools are used to monitor these systems?,,1,,,0,,,,
14,Monitoring,,14.3,Are these tools able to trigger alarms when parameters are not normal?,,1,,,0,,,,
14,Monitoring,,14.4,Are these alarms reviewed and is there evidence of such review in case auditors request it?,,2,Yes|No|Inconsistent,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
15,Documentation,,15.1,Upload as attachments all related documents and policies related to this topic,"Documentation should cover approved operating systems, secure configuration, access control, patching, logging, backup, exposure, and decommissioning.",1, ,,0,,, ,0
