"﻿""Chapter ID (Mandatory", for example 1, 2," Etc)""",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
3,Responsibilities,"<i>- Management: Ensures business continuity objectives are defined, resourced, approved, and reviewed.
- The Information Security function: Defines information security requirements for business continuity, with the support of other department managers.
- Business and Process Owners: Identify critical activities, support business impact analysis, and ensure continuity requirements are met.
- IT / Operations Teams: Support the implementation, testing, and execution of continuity and recovery actions.
- Suppliers and Service Providers: Support continuity requirements as defined in agreements.

---</i>",3.8,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Management: Ensures business continuity objectives are defined, resourced, approved, and reviewed.
- The Information Security function: Defines information security requirements for business continuity, with the support of other department managers.
- Business and Process Owners: Identify critical activities, support business impact analysis, and ensure continuity requirements are met.
- IT / Operations Teams: Support the implementation, testing, and execution of continuity and recovery actions.
- Suppliers and Service Providers: Support continuity requirements as defined in agreements.

---</i>",3.9,Is someone responsible for supporting continuity requirements as defined in agreements in your organization?,,2,Yes|No,,0,,,3.10|,1
3,Responsibilities,"<i>- Management: Ensures business continuity objectives are defined, resourced, approved, and reviewed.
- The Information Security function: Defines information security requirements for business continuity, with the support of other department managers.
- Business and Process Owners: Identify critical activities, support business impact analysis, and ensure continuity requirements are met.
- IT / Operations Teams: Support the implementation, testing, and execution of continuity and recovery actions.
- Suppliers and Service Providers: Support continuity requirements as defined in agreements.

---</i>",3.10,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Management: Ensures business continuity objectives are defined, resourced, approved, and reviewed.
- The Information Security function: Defines information security requirements for business continuity, with the support of other department managers.
- Business and Process Owners: Identify critical activities, support business impact analysis, and ensure continuity requirements are met.
- IT / Operations Teams: Support the implementation, testing, and execution of continuity and recovery actions.
- Suppliers and Service Providers: Support continuity requirements as defined in agreements.

---</i>",3.11,Are we missing any responsibility here that is performed in your company?,,1,,,0,,,,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.1,Does this policy statement apply to your company: Business continuity requirements must be identified and documented.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.2|4.2|4.2,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.2,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.3,Does this policy statement apply to your company: Information security must be maintained at an appropriate level during disruption.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.4|4.4|4.4,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.4,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.5,Does this policy statement apply to your company: Compensating controls must be applied where normal controls cannot be maintained.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.6|4.6|4.6,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.6,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.7,Does this policy statement apply to your company: Redundancy and alternate solutions must be considered to meet availability needs.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.8|4.8|4.8,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.8,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.9,"Does this policy statement apply to your company: Business continuity capabilities must be tested, reviewed, and improved. ---",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.10|4.10|4.10,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.10,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Business continuity requirements must be identified and documented.
- Information security must be maintained at an appropriate level during disruption.
- Compensating controls must be applied where normal controls cannot be maintained.
- Redundancy and alternate solutions must be considered to meet availability needs.
- Business continuity capabilities must be tested, reviewed, and improved.

---</i>",4.11,Are we missing any policy statement here that reflects something done in your company?,,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.1,Does this requirement reflect your company current practice: Information security requirements must be integrated into business continuity planning.,,2,Yes|No|Somewhat|Not applicable,,0,,,5.2 5.3|5.4|5.4|5.4,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.5,Does this requirement reflect your company current practice: Business continuity plans must maintain existing information security controls during disruption where possible and define compensating controls when normal controls cannot be maintained?,,2,Yes|No|Somewhat|Not applicable,,0,,,5.6 5.7|5.8|5.8|5.8,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.9,Does this requirement reflect your company current practice: Business continuity plans must maintain existing information security controls during disruption where possible?,,2,Yes|No|Somewhat|Not applicable,,0,,,5.10 5.11|5.12|5.12|5.12,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.13,Does this requirement reflect your company current practice: Business continuity plans must define compensating controls when normal controls cannot be maintained?,,2,Yes|No|Somewhat|Not applicable,,0,,,5.14 5.15|5.16|5.16|5.16,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.14,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.15,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.16,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.17,Does this requirement reflect your company current practice: Security of information must be restored to the required level within defined timeframes following disruption.,,2,Yes|No|Somewhat|Not applicable,,0,,,5.18 5.19|5.20|5.20|5.20,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.18,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Backup job reports|Restore test records|Retention configuration|Recovery runbooks|Screenshots|System exports|Other,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.19,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.20,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.21,"Does this requirement reflect your company current practice: Continuity plans must be developed, implemented, tested, reviewed, and updated.",,2,Yes|No|Somewhat|Not applicable,,0,,,5.22 5.23|5.24|5.24|5.24,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.22,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|SDLC procedure|Code review records|Security test reports|Release approvals|Screenshots|System exports|Other,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.23,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Information Security During Disruption,"<i>- Information security requirements must be integrated into business continuity planning.
- Business continuity plans must:
  - Maintain existing information security controls during disruption where possible.
  - Define compensating controls when normal controls cannot be maintained.
- Security of information must be restored to the required level within defined timeframes following disruption.
- Continuity plans must be developed, implemented, tested, reviewed, and updated.</i>",5.24,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Business Impact Analysis (BIA),"<i>- A Business Impact Analysis must be performed to:
  - Identify critical business activities.
  - Assess impact types and severity over time.
  - Determine acceptable disruption periods.
- Each prioritized activity must be assigned a Recovery Time Objective (RTO).
- Resources required to support prioritized activities must be identified.
- For information supporting critical activities, a Recovery Point Objective (RPO) must be defined where applicable.</i>",6.1,"Does this requirement reflect your company current practice: A Business Impact Analysis must be performed to identify critical business activities, assess impact types and severity over time, and determine acceptable disruption periods?",,2,Yes|No|Somewhat|Not applicable,,0,,,6.2 6.3|6.4|6.4|6.4,1
6,Standard - Business Impact Analysis (BIA),"<i>- A Business Impact Analysis must be performed to:
  - Identify critical business activities.
  - Assess impact types and severity over time.
  - Determine acceptable disruption periods.
- Each prioritized activity must be assigned a Recovery Time Objective (RTO).
- Resources required to support prioritized activities must be identified.
- For information supporting critical activities, a Recovery Point Objective (RPO) must be defined where applicable.</i>",6.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Risk register|Risk assessment report|Treatment plan|Management approval records|Screenshots|System exports|Other,,0,,,,1
6,Standard - Business Impact Analysis (BIA),"<i>- A Business Impact Analysis must be performed to:
  - Identify critical business activities.
  - Assess impact types and severity over time.
  - Determine acceptable disruption periods.
- Each prioritized activity must be assigned a Recovery Time Objective (RTO).
- Resources required to support prioritized activities must be identified.
- For information supporting critical activities, a Recovery Point Objective (RPO) must be defined where applicable.</i>",6.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Business Impact Analysis (BIA),"<i>- A Business Impact Analysis must be performed to:
  - Identify critical business activities.
  - Assess impact types and severity over time.
  - Determine acceptable disruption periods.
- Each prioritized activity must be assigned a Recovery Time Objective (RTO).
- Resources required to support prioritized activities must be identified.
- For information supporting critical activities, a Recovery Point Objective (RPO) must be defined where applicable.</i>",6.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Business Impact Analysis (BIA),"<i>- A Business Impact Analysis must be performed to:
  - Identify critical business activities.
  - Assess impact types and severity over time.
  - Determine acceptable disruption periods.
- Each prioritized activity must be assigned a Recovery Time Objective (RTO).
- Resources required to support prioritized activities must be identified.
- For information supporting critical activities, a Recovery Point Objective (RPO) must be defined where applicable.</i>",6.5,Does this requirement reflect your company current practice: A Business Impact Analysis must be performed to identify critical business activities?,,2,Yes|No|Somewhat|Not applicable,,0,,,6.6 6.7|6.8|6.8|6.8,1
6,Standard - Business Impact Analysis (BIA),"<i>- A Business Impact Analysis must be performed to:
  - Identify critical business activities.
  - Assess impact types and severity over time.
  - Determine acceptable disruption periods.
- Each prioritized activity must be assigned a Recovery Time Objective (RTO).
- Resources required to support prioritized activities must be identified.
- For information supporting critical activities, a Recovery Point Objective (RPO) must be defined where applicable.</i>",6.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Business Impact Analysis (BIA),"<i>- A Business Impact Analysis must be performed to:
  - Identify critical business activities.
  - Assess impact types and severity over time.
  - Determine acceptable disruption periods.
- Each prioritized activity must be assigned a Recovery Time Objective (RTO).
- Resources required to support prioritized activities must be identified.
- For information supporting critical activities, a Recovery Point Objective (RPO) must be defined where applicable.</i>",6.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
