"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
3,Responsibilities,"<i>- Department Managers are responsible for identifying and classifying data used within their areas.
- System Owners are responsible for ensuring data within their systems is managed in accordance with this document.
- The Information Security function is responsible for defining data management requirements and supporting departments in their application, in collaboration with Legal, Compliance, Department Owners, and System Administrators.
- Users are responsible for handling data in accordance with its classification and organizational policies.</i>",3.8,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Department Managers are responsible for identifying and classifying data used within their areas.
- System Owners are responsible for ensuring data within their systems is managed in accordance with this document.
- The Information Security function is responsible for defining data management requirements and supporting departments in their application, in collaboration with Legal, Compliance, Department Owners, and System Administrators.
- Users are responsible for handling data in accordance with its classification and organizational policies.</i>",3.9,Are we missing any responsibility here that is performed in your company?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.1,Does this policy statement apply to your company: All organizational data must be classified according to its sensitivity and business impact.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.2|4.2|4.2,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.2,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.3,"Does this policy statement apply to your company: Data must be handled, stored, transmitted, and disposed of based on its classification.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.4|4.4|4.4,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.4,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.5,Does this policy statement apply to your company: Data ownership must be clearly defined.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.6|4.6|4.6,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.6,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.7,"Does this policy statement apply to your company: Data must be protected against unauthorized access, disclosure, modification, or loss.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.8|4.8|4.8,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.8,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.9,"Does this policy statement apply to your company: Data management practices must support legal, regulatory, and contractual obligations.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.10|4.10|4.10,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.10,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.11,Does this policy statement apply to your company: Personal data must be handled in accordance with applicable privacy and data protection laws.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.12|4.12|4.12,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.12,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.13,Does this policy statement apply to your company: All organizational data must be backed up to ensure availability and recoverability.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.14|4.14|4.14,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.14,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- All organizational data must be classified according to its sensitivity and business impact.
- Data must be handled, stored, transmitted, and disposed of based on its classification.
- Data ownership must be clearly defined.
- Data must be protected against unauthorized access, disclosure, modification, or loss.
- Data management practices must support legal, regulatory, and contractual obligations.
- Personal data must be handled in accordance with applicable privacy and data protection laws.
- All organizational data must be backed up to ensure availability and recoverability.</i>",4.15,Are we missing any policy statement here that reflects something done in your company?,,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.1,Does this requirement reflect your company current practice: Data must be classified using the classification table defined below.,,2,Yes|No|Somewhat|Not applicable,,0,,,5.2 5.3|5.4|5.4|5.4,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.5,Does this requirement reflect your company current practice: Data classification must be determined by the data owner or responsible department.,,2,Yes|No|Somewhat|Not applicable,,0,,,5.6 5.7|5.8|5.8|5.8,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.9,Does this requirement reflect your company current practice: Classification must be reviewed and updated when data usage or sensitivity changes.,,2,Yes|No|Somewhat|Not applicable,,0,,,5.10 5.11|5.12|5.12|5.12,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.13,"Does this reflect current practice: where feasible, data classification is shown using labels or metadata, covering Public, Internal, Confidential, and Restricted data based on impact, sensitivity, regulated data, PII, and security-critical information?",,2,Yes|No|Somewhat|Not applicable,,0,,,5.14 5.15|5.16|5.16|5.16,1
