"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.4,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.5,Does this policy statement apply to your company: Networks must be segmented to reduce risk and limit the impact of security incidents.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.6|4.6|4.6,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.6,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.7,"Does this policy statement apply to your company: Network access must be controlled, logged, and auditable.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.8|4.8|4.8,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.8,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.9,Does this policy statement apply to your company: Changes to network configurations must follow standard organizational processes.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.10|4.10|4.10,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.10,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.11,Does this policy statement apply to your company: Network security controls must prevent unauthorized access and unintended data flows.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.12|4.12|4.12,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.12,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Network infrastructure must be securely configured, monitored, and maintained.
- Only approved and supported network devices may be deployed.
- Networks must be segmented to reduce risk and limit the impact of security incidents.
- Network access must be controlled, logged, and auditable.
- Changes to network configurations must follow standard organizational processes.
- Network security controls must prevent unauthorized access and unintended data flows.</i>",4.13,Are we missing any policy statement here that reflects something done in your company?,,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.1,Does this requirement reflect your company current practice: Networks must be segregated to differentiate at a minimum:,,2,Yes|No|Somewhat|Not applicable,,0,,,5.2 5.3|5.4|5.4|5.4,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Network diagrams|Firewall rule export|VPN configuration|Change tickets|Screenshots|System exports|Other,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.5,Does this requirement reflect your company current practice: Production environments,,2,Yes|No|Somewhat|Not applicable,,0,,,5.6 5.7|5.8|5.8|5.8,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.9,Does this requirement reflect your company current practice: Development and testing environments,,2,Yes|No|Somewhat|Not applicable,,0,,,5.10 5.11|5.12|5.12|5.12,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|SDLC procedure|Code review records|Security test reports|Release approvals|Screenshots|System exports|Other,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.13,Does this requirement reflect your company current practice: Office and employee networks,,2,Yes|No|Somewhat|Not applicable,,0,,,5.14 5.15|5.16|5.16|5.16,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.14,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Network diagrams|Firewall rule export|VPN configuration|Change tickets|Screenshots|System exports|Other,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.15,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.16,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.17,"Does this requirement reflect your company current practice: Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).",,2,Yes|No|Somewhat|Not applicable,,0,,,5.18 5.19|5.20|5.20|5.20,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.18,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Network diagrams|Firewall rule export|VPN configuration|Change tickets|Screenshots|System exports|Other,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.19,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Network Segmentation,"<i>- Networks must be segregated to differentiate at a minimum:
  - Production environments
  - Development and testing environments
  - Office and employee networks
- Network segmentation must be enforced using appropriate network controls (e.g. VLANs, firewalls).</i>",5.20,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.1,Does this requirement reflect your company current practice: Production services must not be directly exposed to the internet.,,2,Yes|No|Somewhat|Not applicable,,0,,,6.2 6.3|6.4|6.4|6.4,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.5,Does this requirement reflect your company current practice: All inbound and outbound production traffic must pass through approved firewalls and security inspection points.,,2,Yes|No|Somewhat|Not applicable,,0,,,6.6 6.7|6.8|6.8|6.8,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Network diagrams|Firewall rule export|VPN configuration|Change tickets|Screenshots|System exports|Other,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.9,Does this requirement reflect your company current practice: Public-facing production services must only be exposed through approved load balancers and firewall controls.,,2,Yes|No|Somewhat|Not applicable,,0,,,6.10 6.11|6.12|6.12|6.12,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Network diagrams|Firewall rule export|VPN configuration|Change tickets|Screenshots|System exports|Other,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.13,Does this requirement reflect your company current practice: Access to production networks must be strictly restricted and logged.,,2,Yes|No|Somewhat|Not applicable,,0,,,6.14 6.15|6.16|6.16|6.16,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.14,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|IAM export|Access review records|User account listing|Approval tickets|Authentication logs|MFA configuration screenshots|Password manager records|SIEM reports|Log exports|Monitoring alerts|Other,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.15,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Production Networks,"<i>- Production services must not be directly exposed to the internet.
- All inbound and outbound production traffic must pass through approved firewalls and security inspection points.
- Public-facing production services must only be exposed through approved load balancers and firewall controls.
- Access to production networks must be strictly restricted and logged.</i>",6.16,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
7,Standard - Development Networks,"<i>- Development and testing networks must be logically separated from production networks.
- Development networks must not publish services to the internet by default.
- Any external exposure of development services must be explicitly approved and documented.
- Access to development environments must be restricted to authorized users.</i>",7.1,Does this requirement reflect your company current practice: Development and testing networks must be logically separated from production networks.,,2,Yes|No|Somewhat|Not applicable,,0,,,7.2 7.3|7.4|7.4|7.4,1
7,Standard - Development Networks,"<i>- Development and testing networks must be logically separated from production networks.
- Development networks must not publish services to the internet by default.
- Any external exposure of development services must be explicitly approved and documented.
- Access to development environments must be restricted to authorized users.</i>",7.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|SIEM reports|Log exports|Monitoring alerts|Audit reports|Review meeting records|Network diagrams|Firewall rule export|VPN configuration|Change tickets|SDLC procedure|Other,,0,,,,1
7,Standard - Development Networks,"<i>- Development and testing networks must be logically separated from production networks.
- Development networks must not publish services to the internet by default.
- Any external exposure of development services must be explicitly approved and documented.
- Access to development environments must be restricted to authorized users.</i>",7.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
7,Standard - Development Networks,"<i>- Development and testing networks must be logically separated from production networks.
- Development networks must not publish services to the internet by default.
- Any external exposure of development services must be explicitly approved and documented.
- Access to development environments must be restricted to authorized users.</i>",7.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
7,Standard - Development Networks,"<i>- Development and testing networks must be logically separated from production networks.
- Development networks must not publish services to the internet by default.
- Any external exposure of development services must be explicitly approved and documented.
- Access to development environments must be restricted to authorized users.</i>",7.5,Does this requirement reflect your company current practice: Development networks must not publish services to the internet by default.,,2,Yes|No|Somewhat|Not applicable,,0,,,7.6 7.7|7.8|7.8|7.8,1
