Control Title,PCI DSS v4.0.1,ISO 27001:2022,ISO 27002:2022,SOC 2 (TSP 2017),NIST 800-53 Rev5,CIS Controls v8.1,SCF 2025,NIS2 Article 21,ISO 27701:2025,ISO 45001:2018,ISO 42001:2023,ISO 37001:2025,ISO 9001:2015,OWASP LLM Top 10 2025,NIST AI 600-1 2024,EU AI Act 2024/1689,AESCSF-SP1
Patch Deployment Review,6.3.3,—,8.8,CC7.1,"SI-2, CM-3","7.3, 7.4, 7.7",VPM-05,Article 21(2) (e),—,—,—,—,—,—,—,—,—
Penetration Test Execution and Finding Remediation,"11.4.1, 11.4.2, 11.4.3, 11.4.4, 11.4.5",—,—,CC7.1,"CA-8, RA-5","18.2, 18.3, 18.5",VPM-07,Article 21(2) (e),—,—,—,—,—,—,—,—,—
Vulnerability Remediation Tracking,"6.3.1, 6.3.2",—,8.8,"CC7.1, CC7.2","CA-5, RA-5, SI-2","16.3, 16.6, 7.2, 7.6, 7.7","VPM-02, VPM-03, VPM-04",—,—,—,—,—,—,—,—,Art.20.1,—
Log Collection and Configuration Review,"10.2.1, 10.2.1.1, 10.2.1.2, 10.2.1.3, 10.2.1.4, 10.2.1.5, 10.2.1.6, 10.2.1.7, 10.6.1, 10.7.1",—,"8.15, 8.17","CC7.1, CC7.2","AU-2, AU-3, AU-8, AU-12","8.1, 8.12, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.9","MON-02, MON-03, MON-07",Article 21(2) (a),A.3.25,—,—,—,—,—,—,—,—
Log Review and Anomaly Investigation,"10.4.1, 10.4.1.1, 10.4.2, 10.4.2.1",—,8.16,"CC4.1, CC7.2","AU-6, SI-4","13.1, 13.11, 8.11, 8.8, 8.9","MON-16, MON-17",—,—,—,—,—,—,—,—,—,—
Log Retention Compliance Review,"10.3.2, 10.3.3, 10.5.1",—,8.15,CC7.1,"AU-9, AU-11","8.1, 8.10, 8.11, 8.3","MON-08, MON-10",—,—,—,—,—,—,—,—,—,—
Service Provider Log Collection Review,10.7.1,—,—,CC7.1,AU-16,8.12,MON-14,—,—,—,—,—,—,—,—,—,—
Incident Response Plan Review and Test,"12.10.1, 12.10.2, 12.10.3, 12.10.5, 12.10.6, 12.10.7",—,"5.24, 5.25, 5.5","CC7.3, CC7.4","IR-2, IR-3, IR-8","17.4, 17.7","IRO-04, IRO-05, IRO-06",Article 21(2) (b),A.3.11,8.2,—,—,—,—,—,—,—
Post-Incident Review Execution,"12.10.6, 12.10.7",—,"5.27, 5.28",CC7.5,IR-4,"17.8, 17.9",IRO-13,Article 21(2) (b),A.3.12,—,—,—,—,—,—,—,—
Security Incident Reporting Channel Review,12.10.3,—,6.8,CC7.3,IR-6,17.3,"IRO-10, IRO-11",Article 21(2) (b),—,—,—,—,—,—,—,—,—
Change Request Approval and Documentation Review,"6.5.1, 6.5.2, 6.5.3, 6.5.4, 6.5.5, 6.5.6",6.3,8.32,CC8.1,"CM-3, CM-4, CM-5",—,"CHG-01, CHG-02, CHG-03",Article 21(2) (e),—,—,—,—,"6.3, 8.5.2, 8.5.6",—,—,—,—
Security Awareness Training Completion Review,"12.6.1, 12.6.2, 12.6.3, 12.6.3.1, 12.6.3.2","7.2, 7.3",6.3,CC1.4,"AT-2, AT-3","14.1, 14.2, 14.6","SAT-02, SAT-03, SAT-04",Article 21(2) (g),A.3.17,"7.2, 7.3","7.2, 7.3","37001:2025 - 7.3.1, 37001:2025 - 7.3.2, 37001:2025 - 7.3.4","7.2, 7.3",—,—,—,—
Pre-Employment Background Screening Review,12.7.1,—,"6.1, 6.2, 6.6",CC1.4,PS-3,—,HRS-04,Article 21(2) (i),—,—,—,"37001:2025 - 7.2.1, 37001:2025 - 7.2.2, 37001:2025 - 7.2.2.1, 37001:2025 - 7.2.2.2",—,—,—,—,—
Offboarding Access Revocation Review,"8.2.5, 8.2.6",—,"5.11, 6.5",CC6.5,"PS-4, AC-2",6.2,"HRS-09, IAC-07",Article 21(2) (i),—,—,—,—,—,—,—,—,—
Cryptographic Key and Certificate Lifecycle Review,"3.5.1, 3.6.1, 3.7.1, 3.7.2, 3.7.3, 3.7.4, 3.7.5, 3.7.6, 3.7.7, 3.7.8, 4.1.1, 4.1.2, 4.2.1, 4.2.1.1, 4.2.2",—,8.24,CC6.7,"SC-12, SC-17",3.11,"CRY-08, CRY-09, CRY-11, CRY-12",Article 21(2) (h),A.3.26,—,—,—,—,—,—,—,—
Firewall Ruleset Review,"1.1.1, 1.2.1, 1.2.2, 1.2.5, 1.2.6, 1.2.7, 1.3.1, 1.3.2, 1.4.3, 1.4.4, 1.4.5",—,"8.21, 8.2","CC6.6, CC6.7","SC-7, CM-6","12.1, 12.2, 12.4, 12.6, 13.4","NET-03, NET-04",Article 21(2) (e),—,—,—,—,—,—,—,—,—
Network Segmentation Verification,"1.3.3, 1.3.4, 1.3.5",—,8.22,"CC6.6, CC6.7, CC6.8","SC-7, CA-9","12.2, 12.3, 13.4, 13.9",NET-06,Article 21(2) (e),—,—,—,—,—,—,—,—,—
Remote Access Security Review,"1.5.1, 8.3.2",—,6.7,"CC6.6, CC6.7","AC-17, SC-8","12.5, 12.7, 6.4",NET-14,Article 21(2) (j),—,—,—,—,—,—,—,—,—
Network Architecture and Diagram Review,"1.2.3, 1.2.4, 1.2.8",—,—,CC6.7,"PL-8, CM-2","12.4, 12.6, 12.7, 12.8","AST-04, NET-01",—,—,—,—,—,—,—,—,—,—
Physical Access Rights Review,"9.1.1, 9.1.2, 9.2.1, 9.2.1.1, 9.2.2, 9.2.3, 9.2.4, 9.3.1, 9.3.1.1, 9.3.2, 9.3.3, 9.3.4",—,"7.2, 7.3, 7.4, 7.8, 7.9","CC6.4, CC6.5","PE-2, PE-3",—,"PES-02, PES-03, PES-05",—,—,8.1.3,—,—,—,—,—,—,—
Clear Desk and Clear Screen Compliance Check,—,—,7.7,—,AC-11,—,AST-06,—,A.3.19,—,—,—,—,—,—,—,—
Media Disposal Verification,"9.4.1, 9.4.1.1, 9.4.1.2, 9.4.2, 9.4.3, 9.4.4, 9.4.5, 9.4.5.1, 9.4.6, 9.4.7",—,"7.1, 7.14","CC6.4, CC6.5","MP-6, MP-7",—,"AST-09, DCH-08, DCH-09",—,"A.3.20, A.3.21",—,—,—,—,—,—,—,—
Supplier Security Assessment Review,"12.8.1, 12.8.3",—,"5.19, 5.21, 5.22",CC9.2,"SR-6, SA-9","15.3, 15.5","TPM-02, TPM-08",Article 21(2) (d),—,—,—,—,8.4.1,LLM05,"GV-6.1-005, GV-6.1-009",Art.25.4,—
Supplier Contract Security Requirements Review,"12.8.2, 12.9.1",—,5.2,CC9.2,"SR-5, SA-4",15.4,"TPM-04, TPM-05",Article 21(3),—,—,—,"37001:2025 - 8.6, 37001:2025 - 8.7","8.4.2, 8.4.3",—,—,—,—
Supplier Offboarding and Data Return Verification,12.8.5,—,5.22,CC9.2,"SR-3, PS-7",15.7,TPM-10,—,A.2.4.3,—,—,—,—,—,—,—,—
Backup Execution and Restore Test,12.3.3,—,"5.29, 8.13","A1.2, A1.3",CP-9,"11.1, 11.2, 11.3, 11.4, 11.5","BCD-11, BCD-12",Article 21(2) (c),A.3.24,—,—,—,—,—,—,—,—
BCP and DR Plan Test,—,—,"5.29, 8.14","A1.1, A1.3","CP-4, CP-2","11.4, 11.5","BCD-04, BCD-05",Article 21(2) (c),—,—,—,—,—,—,—,—,—
Data Classification and Labelling Compliance Review,"3.3.2, 3.4.1",—,"5.12, 5.13, 5.14",PI1.4,"MP-3, MP-4","3.1, 3.7","DCH-02, DCH-04, DCH-05",Article 21(2) (a),"A.3.5, A.3.6, A.3.7",—,—,—,8.5.3,—,—,—,—
Data Retention and Disposal Compliance Review,"3.2.1, 3.3.1",—,"5.33, 8.1",C1.2,SI-12,"3.4, 3.5","DCH-18, DCH-21",—,"A.1.4.8, A.1.4.9",—,—,—,—,—,—,—,—
Threat Intelligence Review,"12.3.1, 12.3.2",—,"5.6, 5.7",—,"SI-5, PM-16",—,"THR-01, THR-03, THR-09",—,—,—,—,—,—,—,"MP-5.1-006, MS-2.7-001",—,—
Legal and Regulatory Compliance Review,—,—,5.31,—,—,—,"CPL-01, CPL-02",—,A.3.13,6.1.3,—,37001:2025 - 6.2,—,—,—,—,—
Independent Information Security Review,—,"9.2, 9.2.1, 9.2.2",5.35,CC4.1,CA-2,—,"IAO-02, CPL-03",—,"9.2.1, 9.2.2","9.2.1, 9.2.2","9.2.1, 9.2.2","37001:2025 - 9.2.1, 37001:2025 - 9.2.2","9.2.1, 9.2.2",—,—,—,—
Internal Information Security Compliance Review,—,5.36,5.36,CC4.2,CA-7,—,"CPL-02, CPL-04",—,9.1,9.1.1,9.1,37001:2025 - 9.1,"9.1.1, 9.1.3",—,—,—,—
Security Policy Violation Management Review,—,—,6.4,CC1.5,PS-8,—,HRS-07,—,—,—,—,—,—,—,—,—,—
Endpoint Configuration Baseline Review,"1.4.1, 1.4.2, 2.2.1, 2.2.2, 2.2.3, 2.2.4, 2.2.5, 2.2.6, 2.2.7, 2.3.1, 2.3.2",—,"8.1, 8.9",CC6.8,"CM-2, CM-6","4.1, 4.10, 4.11, 4.12, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9","CFG-02, END-01",Article 21(2) (e),—,—,—,—,—,—,—,—,—
Malware Protection Review,"5.2.1, 5.2.2, 5.2.3, 5.2.3.1, 5.3.1, 5.3.2, 5.3.2.1, 5.3.3",—,8.7,"CC6.8, CC7.1","SI-3, SI-4","10.1, 10.2, 10.3, 10.4, 10.5, 10.6, 10.7, 13.2, 9.7","END-04, END-07",Article 21(2) (e),—,—,—,—,—,—,—,—,—
Web and Email Filtering Review,5.4.1,—,8.23,"CC6.6, CC6.8","SC-7, SI-8","9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7","NET-18, NET-20, END-08",Article 21(2) (e),—,—,—,—,—,—,—,—,—
Software Installation Control Review,6.3.2,—,8.19,CC6.8,"CM-7, CM-11","2.5, 2.6, 2.7","CFG-03, CFG-04, CFG-05, END-03",—,—,—,—,—,—,—,—,—,—
Endpoint Encryption Compliance Review,3.5.1,—,8.1,CC6.7,"SC-28, MP-5","3.6, 3.9","CRY-05, MDM-03",Article 21(2) (h),—,—,—,—,—,—,—,—,—
Data Loss Prevention Review,12.5.1,—,—,C1.2,SI-12,3.13,"NET-17, DCH-16",—,—,—,—,—,—,—,—,—,—
Secure Development Lifecycle Compliance Review,6.2.1,—,"8.25, 8.27, 8.3, 8.4",CC8.1,"SA-3, SA-8, SA-15","16.1, 16.9","TDA-06, TDA-07, PRM-07",Article 21(2) (e),"A.3.27, A.3.30",—,"A.6.1.2, A.6.1.3",—,—,"LLM03, LLM04","GV-4.1-001, GV-4.1-002","Art.8.1, Art.17.1",—
Static and Dynamic Application Security Testing Review,"6.2.3, 6.2.3.1",—,8.29,CC8.1,"SA-11, CA-2","16.12, 16.13, 16.3","TDA-09, VPM-07",Article 21(2) (e),—,—,—,—,—,—,—,—,—
Secure Coding Standards Compliance Review,"6.2.2, 6.2.4",—,8.28,CC8.1,"SA-15, SA-8",16.9,"TDA-06, TDA-18, TDA-19",—,A.3.28,—,—,—,—,—,—,—,—
Application Security Requirements Review,"6.2.1, 6.2.2, 6.2.3",—,8.26,CC8.1,"SA-4, SA-17","16.1, 16.2","TDA-02, TDA-05, PRM-05",—,"A.3.28, A.3.29, A.3.30",—,—,—,—,—,—,—,—
Third-Party Software Component Review,"6.2.4, 6.3.2",—,8.25,CC9.2,"SA-12, SA-22, SR-4","16.4, 16.5",TDA-17,—,—,—,—,—,—,—,—,—,—
"Development, Test, and Production Environment Separation Review","6.4.1, 6.4.2",—,8.31,CC8.1,"CM-4, SA-3",16.8,"TDA-08, TDA-10",—,A.3.31,—,—,—,—,—,—,—,—
Internal Audit Execution,—,"9.2, 9.2.1, 9.2.2",—,"CC4.1, CC4.2","CA-2, CA-7",—,"CPL-04, IAO-02",—,"9.2.1, 9.2.2","9.2.1, 9.2.2","9.2.1, 9.2.2","37001:2025 - 9.2.1, 37001:2025 - 9.2.2","9.2.1, 9.2.2",—,—,—,—
Management Review Execution,—,"9.3, 9.3.1, 9.3.2, 9.3.3",—,CC5.3,"CA-7, PM-6",—,"GOV-03, GOV-17",—,"9.3.1, 9.3.2, 9.3.3",9.3,"9.3.1, 9.3.2, 9.3.3","37001:2025 - 9.3.1, 37001:2025 - 9.3.2, 37001:2025 - 9.3.3","9.3.1, 9.3.2, 9.3.3",—,—,—,—
Nonconformity and Corrective Action Tracking,—,"10.1, 10.2",—,CC4.2,"CA-5, PM-4",—,IAO-05,—,"10.1, 10.2","10.1, 10.2, 10.3","10.1, 10.2","37001:2025 - 10.1, 37001:2025 - 10.2","10.1, 10.2.1, 10.2.2, 10.3",—,—,—,—
Cardholder Data Environment Scoping Review,"3.3.1, 3.3.1.1, 3.3.1.2, 3.3.1.3, 3.3.2, 3.3.3, 12.5.1, 12.5.2",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
PCI DSS Compliance Self-Assessment or Audit,"12.3.1, 12.3.2",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Cardholder Data Discovery Scan,"3.4.1, 3.4.2",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
SOC 2 Control Effectiveness Monitoring,—,—,—,"CC4.1, CC4.2, CC5.1, CC5.2, CC5.3",—,—,—,—,—,—,—,—,—,—,—,—,—
Availability and Processing Integrity Monitoring,—,—,—,"A1.1, A1.2, PI1.1, PI1.2, PI1.3",—,—,—,—,—,—,—,—,8.5.1,—,—,—,—
System Security Plan Review,—,—,5.8,—,"PL-2, CA-6",—,—,—,—,—,—,—,8.1,—,—,—,—
Plan of Action and Milestones (POA&M) Review,—,—,—,—,"CA-5, PM-4",—,—,—,—,—,—,—,—,—,—,—,—
Security Training Records Review,—,—,—,—,AT-4,—,—,—,—,—,—,—,—,—,—,—,—
OH&S Legal Compliance Evaluation,—,—,—,—,—,—,—,—,—,"6.1.3, 9.1.2",—,—,—,—,—,—,—
OH&S Performance Monitoring Review,—,—,—,—,—,—,—,—,—,"6.1.2.1, 6.1.2.2, 9.1.1, 9.1.2",—,—,—,—,—,—,—
AI System Impact Assessment Review,—,—,—,—,—,—,—,—,—,—,"6.1.4, 8.4, A.5.1, A.5.2, A.5.3, A.5.4, A.5.5",—,—,—,"MP-5.1-002, MP-4.1-008","Art.9.1, Art.27.1, Art.27.2",—
AI System Performance and Monitoring Review,—,—,—,—,—,—,—,—,—,—,"9.1, A.6.2.6, A.7.1, A.7.2, A.7.3, A.7.4, A.7.5, A.8.2, A.8.3, A.8.4, A.8.5",—,—,—,"MG-4.1-002, MG-4.2-001","Art.72.1, Art.72.2",—
Anti-Bribery Risk Assessment Review,—,—,—,—,—,—,—,—,—,—,—,"37001:2025 - 4.5.1, 37001:2025 - 4.5.2, 37001:2025 - 4.5.3, 37001:2025 - 4.5.4, 37001:2025 - 6.1, 37001:2025 - 8.1, 37001:2025 - 8.10, 37001:2025 - 8.2, 37001:2025 - 8.3, 37001:2025 - 8.4, 37001:2025 - 8.5.1, 37001:2025 - 8.5.2, 37001:2025 - 8.6, 37001:2025 - 8.7, 37001:2025 - 8.8, 37001:2025 - 8.9",—,—,—,—,—
Gifts and Hospitality Register Review,—,—,—,—,—,—,—,—,—,—,—,"37001:2025 - 8.7, 37001:2025 - 8.3, 37001:2025 - 8.4",—,—,—,—,—
Anti-Bribery Due Diligence Review,—,—,—,—,—,—,—,—,—,—,—,"37001:2025 - 8.2, 37001:2025 - 8.6, 37001:2025 - 8.7, 37001:2025 - 8.8",—,—,—,—,—
Customer Satisfaction Monitoring,—,—,—,—,—,—,—,—,—,—,—,—,"5.1.2, 8.2.1, 8.2.2, 8.2.3, 8.2.4, 8.6, 9.1.2",—,—,—,—
Quality Nonconformity Review,—,—,—,—,—,—,—,—,—,—,—,—,"10.2.1, 10.2.2, 8.7.1, 8.7.2",—,—,—,—
PII Cross-Border Transfer Review,—,—,—,P7.1,—,—,—,—,"A.1.5.1, A.1.5.2, A.1.5.3, A.1.5.4, A.1.5.5, A.2.5.2, A.2.5.3",—,—,—,—,—,—,—,—
Data Subject Rights Request Fulfilment Review,—,—,—,"P5.1, P5.2, P6.7, P8.1",—,—,—,—,"A.1.3.1, A.1.3.10, A.1.3.11, A.1.3.2, A.1.3.3, A.1.3.4, A.1.3.7, A.1.3.9, A.2.3.2",—,—,—,—,—,—,—,—
Cyber Governance Programme Review,—,—,—,—,—,—,"GOV-02, GOV-03, GOV-04, GOV-05",—,—,—,—,—,—,—,—,—,—
NIS2 Incident Notification Review,—,—,—,—,—,—,—,"Article 21(2) (b), Article 21(4), Article 21(5)",—,—,—,—,—,—,—,—,—
AI Prohibited Practices Compliance Review,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"Art.5.1, Art.5.2, Art.5.3, Art.5.4",—
AI System Risk Management Review,—,—,—,—,—,—,—,—,—,—,"8.2, 8.3, A.8.1, A.8.2, A.8.3, A.8.4",—,—,—,"MP-1.1-001, MP-1.1-002, MP-5.1-001, MP-5.1-002, MP-5.1-006","Art.9.1, Art.9.2, Art.9.3, Art.9.4, Art.9.5, Art.9.6, Art.9.8, Art.9.9, Art.9.10",—
AI Training Data Governance Review,—,—,—,—,—,—,—,—,—,—,—,—,—,"LLM02, LLM03, LLM04, LLM08","MG-3.2-003, MG-3.2-002, MP-4.1-004, MP-4.1-005, MS-2.11-004, MS-2.11-005","Art.10.1, Art.10.2, Art.10.3, Art.10.4, Art.10.5, Art.10.6",—
AI Technical Documentation Review,—,—,—,—,—,—,—,—,—,—,"A.4.1, A.4.2, A.4.3, A.4.4, A.4.5, A.4.6",—,—,—,"MS-2.9-002, GV-1.6-001, GV-1.6-003","Art.11.1, Art.11.2, Annex.IV, Annex.IV.1, Annex.IV.2, Annex.IV.3, Annex.IV.5, Annex.IV.6, Art.18.1",—
AI System Logging and Record-Keeping Review,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"GV-1.5-001, GV-1.5-003, MG-4.1-006","Art.12.1, Art.12.2, Art.12.3, Art.19.1, Art.19.2, Art.26.6",—
AI Human Oversight Controls Review,—,—,—,—,—,—,—,—,—,—,"A.9.1, A.9.2, A.9.3, A.9.4",—,—,LLM06,"GV-3.2-002, GV-3.2-003, MG-3.2-008, MG-4.2-003","Art.14.1, Art.14.2, Art.14.3, Art.14.4, Art.14.5, Art.26.1, Art.26.2, Art.26.5",—
AI Transparency and Disclosure Review,—,—,—,—,—,—,—,—,—,—,—,—,—,LLM09,"GV-5.1-001, GV-5.1-002, MP-5.1-003, MS-2.8-003","Art.13.1, Art.13.2, Art.13.3, Art.50.1, Art.50.2, Art.50.3, Art.50.4, Art.50.5",—
AI Serious Incident Reporting Review,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"MG-4.3-001, MG-4.3-003, GV-4.3-002, GV-1.5-002","Art.73.1, Art.73.2, Art.73.3, Art.73.4, Art.73.5, Art.73.6, Art.20.1, Art.20.2, Art.82.2",—
AI Post-Market Monitoring Review,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"MG-4.1-002, MG-4.2-001, MG-4.1-004, MS-2.5-003, MS-2.6-005","Art.72.1, Art.72.2, Art.72.4",—
Fundamental Rights Impact Assessment,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"MS-3.3-001, MP-5.2-001","Art.27.1, Art.27.2, Art.27.3, Art.27.4",—
LLM Prompt Injection Controls Review,—,—,—,—,—,—,—,—,—,—,—,—,—,LLM01,"MS-2.7-007, MS-2.6-006",Art.15.5,—
LLM Sensitive Data Disclosure Controls Review,—,—,—,—,—,—,—,—,—,—,—,—,—,"LLM02, LLM06, LLM07","MP-4.1-009, MS-2.2-004, MS-2.10-001",Art.10.5,—
LLM Supply Chain Security Review,—,—,—,—,—,—,—,—,—,—,—,—,—,"LLM03, LLM09","MG-3.1-001, MG-3.1-002, MG-3.1-005, GV-6.1-001, GV-6.1-007, GV-6.2-001",Art.25.4,—
LLM Output Validation and Handling Review,—,—,—,—,—,—,—,—,—,—,—,—,—,"LLM05, LLM08, LLM09","MG-3.2-004, MG-3.2-005, MS-2.6-004, MP-2.3-003","Art.15.1, Art.15.4",—
LLM Resource and Agency Controls Review,—,—,—,—,—,—,—,—,—,—,—,—,—,"LLM04, LLM06, LLM07, LLM10","MG-2.4-004, GV-1.7-001, GV-1.7-002",Art.14.3,—
GAI Red-Teaming and Adversarial Testing,—,—,—,—,—,—,—,—,—,—,—,—,—,"LLM01, LLM04, LLM07","MS-2.7-007, MS-1.3-002, MP-2.3-005, MS-2.6-007, GV-3.2-001","Art.55.1, Annex.XI.p4",—
Third-Party GAI System Governance Review,—,—,—,—,—,—,—,—,—,—,—,—,—,LLM03,"GV-6.1-004, GV-6.1-005, GV-6.1-006, GV-6.2-003, GV-6.2-004, GV-6.2-006, GV-6.2-007","Art.53.1, Art.55.1",—
Management System Scope and Context Review,—,"4.2, 4.3, 4.4",—,CC2.1,—,—,—,—,"4.2, 4.3, 4.4","4.2, 4.3, 4.4","4.2, 4.3, 4.4","37001:2025 - 4.2, 37001:2025 - 4.3, 37001:2025 - 4.4","4.1, 4.2, 4.3, 4.4.1, 4.4.2",—,—,—,—
Management System Policy and Leadership Review,"12.1.1, 12.1.2, 12.1.3, 12.1.4","5.1, 5.2, 5.3",—,"CC1.2, CC1.3, CC2.3",—,—,—,—,"5.1, 5.2, 5.3","5.1, 5.2, 5.3",—,"37001:2025 - 5.1.1, 37001:2025 - 5.1.2, 37001:2025 - 5.1.3, 37001:2025 - 5.2, 37001:2025 - 5.3.1, 37001:2025 - 5.3.2, 37001:2025 - 5.3.3","5.1.1, 5.2.1, 5.2.2, 5.3",—,—,—,—
Management System Documented Information Review,"1.1.2, 2.1.1, 3.1.2, 4.1.1, 4.1.2, 5.1.1, 5.1.2, 6.1.1, 6.1.2, 7.1.1, 7.1.2, 8.1.1, 8.1.2, 10.1.1, 10.1.2, 11.1.1, 11.1.2","7.5, 7.5.1, 7.5.2, 7.5.3",5.37,—,—,—,"TDA-04, TDA-22",—,"7.5.1, 7.5.2, 7.5.3","7.5.1, 7.5.2, 7.5.3","7.5.1, 7.5.2, 7.5.3","37001:2025 - 7.5.1, 37001:2025 - 7.5.2, 37001:2025 - 7.5.3","7.5.1, 7.5.2, 7.5.3.1, 7.5.3.2",—,—,—,—
Management System Continual Improvement Review,—,"10.1, 10.2",—,CC2.2,—,—,IAO-05,—,"10.1, 10.2",9.1.2,"10.1, 10.2","37001:2025 - 10.1, 37001:2025 - 10.2","10.1, 10.3",—,—,—,—
Scheduled Maintenance Compliance Review,2.1.1,—,"5.37, 7.13",—,—,4.1,MNT-10,—,—,—,—,—,—,—,—,—,—
Maintenance Tool and Access Control Review,2.1.1,—,—,—,—,—,MNT-11,—,—,—,—,—,—,—,—,—,—
Remote Maintenance Session Review,8.2.7,—,8.18,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Physical and Environmental Threat Assessment,—,—,"7.5, 7.11, 7.12",—,—,—,PES-15,—,—,"6.1.2.1, 6.1.2.2",—,—,—,—,—,—,—
Secure Area Access and Controls Review,9.3.1.1,—,7.6,—,—,—,PES-18,—,—,—,—,—,—,—,—,—,—
POI Device Inspection Review,"9.5.1, 9.5.1.1, 9.5.1.2, 9.5.1.2.1, 9.5.1.3",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Consent Management Review,—,—,—,"P1.1, P2.1, P3.1, P3.2",—,—,PRI-14,—,"A.1.2.1, A.1.2.2, A.1.2.3, A.1.2.4, A.1.2.5, A.1.2.6, A.1.3.5, A.1.3.6",—,—,—,—,—,—,—,—
PII Retention and Disposal Review,—,—,5.34,"P4.1, P4.2, P4.3",—,—,DCH-18,—,"A.1.4.1, A.1.4.10, A.1.4.2, A.1.4.3, A.1.4.4, A.1.4.5, A.1.4.6, A.1.4.7, A.1.4.8, A.1.4.9",—,—,—,—,—,—,—,—
