Title,Description,Audit Methodology,Policy Procedure
Log Retention Compliance Review,Verification that logs are retained for the required minimum period and are protected from tampering.,"Evidence required: log retention configuration from SIEM or log management platform; storage capacity report; access control list for log storage. Analysis: confirm retention period meets the defined minimum (typically 12 months, 90 days online); confirm log storage has adequate capacity and has not silently dropped logs; confirm write access to logs is restricted to authorised service accounts only. Conclusion: document retention gaps. Conduct review quarterly.",Logging_Monitoring > Log Configuration
Service Provider Log Collection Review,Verification that logs from key cloud and third-party service providers are collected and integrated into centralised monitoring.,"Evidence required: list of in-scope service providers; SIEM configuration showing service provider log sources; sample of service provider logs ingested. Analysis: confirm all critical service providers have log forwarding configured; confirm authentication, admin activity, and data access events are captured; confirm service provider logs are subject to the same retention policy as internal logs. Conclusion: document missing service provider log sources. Conduct review at minimum annually.",Logging_Monitoring > Log Configuration
Incident Response Plan Review and Test,Annual review of the incident response plan and execution of a tabletop exercise or simulation to test response capability.,"Evidence required: current incident response plan document with version and review date; tabletop exercise or simulation report showing scenario, participants, outcomes, and action items. Analysis: confirm the plan has been reviewed and updated within the last 12 months; confirm a test was conducted involving key stakeholders; confirm action items from the test have been tracked and closed. Conclusion: document plan gaps and outstanding action items. Conduct at minimum annually.",Incident_Management > Incident Reporting
Post-Incident Review Execution,"Structured review following every significant security incident to identify root cause, lessons learned, and control improvements.","Evidence required: post-incident review report for the incident including timeline, root cause analysis, control gaps identified, and action items with owners and due dates. Analysis: confirm review was conducted within the defined timeframe post-closure (typically 2 weeks); confirm root cause was identified; confirm action items have been assigned and are being tracked; confirm lessons learned have been fed back into policy or control updates where applicable. Conclusion: document outstanding action items. Conduct following every significant incident.",Incident_Management > Post-Incident Review
Security Incident Reporting Channel Review,"Verification that the incident reporting mechanism is documented, communicated, and accessible to all personnel.","Evidence required: documentation of reporting channels (email, helpdesk, hotline); evidence of communication to staff (intranet post, training record, email); test of reporting channel (e.g. submission of test report and confirmation of receipt). Analysis: confirm channel is accessible to all staff including remote workers; confirm response and triage SLA is defined and being met; confirm reporting instructions are included in security awareness training. Conclusion: document gaps. Conduct review annually.",Incident_Management > Incident Reporting
Change Request Approval and Documentation Review,"Verification that all production changes were submitted via the formal change process, approved, tested, and documented.","Evidence required: change log for the review period; sample of change tickets (minimum 10 or all if fewer) showing request, approver, test evidence, and outcome. Analysis: confirm no changes were made without a corresponding approved ticket; confirm emergency changes were reviewed post-implementation; confirm rollback plans were defined for significant changes. Conclusion: document unapproved or undocumented changes. Conduct review monthly.",Change_Management > Standard Change
Security Awareness Training Completion Review,Verification that all personnel have completed mandatory annual security awareness training and acknowledged security policies.,"Evidence required: training platform completion report showing completion status per employee, date completed, and training version; acknowledgement records for the security policy. Analysis: confirm 100% completion rate for employees in scope; identify overdue personnel and escalation actions taken; confirm training content was reviewed and updated within the last 12 months. Conclusion: document non-completion rate and follow-up actions. Conduct review at minimum annually.",Human_Resources_Security > Security Training Delivery and Tracking
Pre-Employment Background Screening Review,Verification that background screening is consistently conducted for new hires with access to sensitive systems or data.,Evidence required: sample of new hire onboarding records from the review period; corresponding background screening confirmation records. Analysis: confirm screening was initiated and completed before or at the point of access provisioning for each sampled hire; confirm screening scope is proportionate to access level; confirm screening results are documented and retained. Conclusion: document cases where access was provisioned before screening was completed. Conduct review annually.,Human_Resources_Security > Onboarding
Offboarding Access Revocation Review,Verification that all system access is revoked on the last day of employment for all departing personnel.,Evidence required: sample of offboarding records from the review period; corresponding access revocation confirmations from identity provider and key systems. Analysis: confirm access was revoked on or before the last working day for all sampled cases; confirm physical access badges were collected; confirm no dormant accounts remain active for departed employees beyond 45 days. Conclusion: document cases with delayed revocation. Conduct review quarterly.,Human_Resources_Security > Offboarding
Cryptographic Key and Certificate Lifecycle Review,"Verification that cryptographic keys and TLS certificates are managed per policy, rotated on schedule, and that no weak algorithms are in use.","Evidence required: key management register showing all active keys with algorithm, length, creation date, and next rotation date; certificate inventory with expiry dates; configuration scan or manual check for deprecated algorithms. Analysis: confirm no keys are overdue for rotation; confirm no TLS 1.0 or 1.1 is enabled; confirm no deprecated algorithms (DES, RC4, MD5 for signing, SHA-1 for signing) are in use; confirm no certificates expire within 30 days without a renewal in progress. Conclusion: document overdue rotations and impending expiries. Conduct review quarterly.",Cryptography > Certificate Management
Firewall Ruleset Review,"Periodic review of firewall and network security device rules to confirm all rules are justified, current, and consistent with the approved architecture.","Evidence required: current firewall ruleset export; network segmentation diagram; list of approved rules with documented business justification. Analysis: confirm each rule has a documented owner and business purpose; identify and flag rules that are overly permissive, unused, or undocumented; confirm CDE or sensitive zone isolation rules are intact. Conclusion: document rules to be removed or tightened. Conduct review at minimum every six months.",Network_Security > Firewall Rule Review
Network Segmentation Verification,"Verification that network segmentation controls are in place and effective, preventing unauthorised lateral movement between zones.",Evidence required: network architecture diagram; firewall or VLAN configuration showing zone separation; results of segmentation test (manual traffic test or scan output). Analysis: confirm sensitive or regulated zones are isolated from general network; confirm there are no uncontrolled paths between zones; confirm wireless networks are segregated from wired internal networks. Conclusion: document any unintended paths or segmentation failures. Conduct review annually or after significant network changes.,Network_Security > Network Change
Remote Access Security Review,"Verification that all remote access connections use approved encrypted channels with MFA enforced, and that inactive sessions are terminated.",Evidence required: VPN or remote access platform configuration showing MFA enforcement and session timeout settings; access logs showing remote sessions for the review period. Analysis: confirm MFA is enforced for all remote access; confirm split tunnelling is disabled or has documented approval; confirm session timeout is configured; confirm all remote access is via approved encrypted channels (no legacy protocols). Conclusion: document exceptions. Conduct review at minimum annually.,Network_Security > Remote Access
Network Architecture and Diagram Review,Verification that network architecture documentation is current and accurately reflects the deployed environment.,"Evidence required: current network architecture diagram(s); change log for the review period. Analysis: confirm the diagram was updated following all significant network changes in the period; confirm diagram shows all major zones, boundaries, and security controls; confirm the diagram is version controlled and stored in an approved location. Conclusion: document diagram inaccuracies. Conduct review annually or after significant changes.",Network_Security > Network Change
Physical Access Rights Review,Periodic review of physical access rights to restricted areas to confirm access remains appropriate and terminated employees have no remaining access.,Evidence required: physical access control system export showing active badges and access rights per zone; HR termination records for the review period. Analysis: confirm no terminated employee retains active physical access; confirm access to restricted areas is limited to personnel with documented business need; confirm visitor access procedures are being followed. Conclusion: document unjustified access rights. Conduct review quarterly.,Physical_Security > Physical Access Review
Clear Desk and Clear Screen Compliance Check,Spot-check verification that personnel are following clear desk and clear screen practices to prevent unauthorised access to sensitive information.,"Evidence required: completed clear desk inspection checklist (physical walkthrough) covering workstations, meeting rooms, and shared areas; or screenshot evidence of screen lock activation after inactivity timeout. Analysis: confirm workstations auto-lock within defined timeout; confirm no sensitive documents or credentials are left unattended; confirm printer output areas are checked. Conclusion: document non-compliant findings and corrective actions taken. Conduct spot checks at minimum quarterly.",Physical_Security > Physical Access Review
Media Disposal Verification,Verification that storage media containing sensitive data is disposed of using approved destruction methods and that destruction is documented.,Evidence required: media destruction log or certificate of destruction for the period; list of assets decommissioned in the period. Analysis: confirm all decommissioned storage media had sensitive data confirmed and destruction method documented; confirm destruction method is appropriate to data classification; confirm certificates of destruction are retained where applicable. Conclusion: document any disposals without evidence of secure destruction. Conduct review quarterly.,Physical_Security > Media Disposal
Supplier Security Assessment Review,Periodic review of the security posture of critical and high-risk suppliers against defined security requirements.,"Evidence required: supplier risk register with tier classification; evidence of security assessment per supplier (questionnaire responses, SOC 2 reports, ISO certificates, or equivalent) for the review period. Analysis: confirm all critical/high-risk suppliers were assessed within the defined review period; confirm findings from prior assessments have remediation plans; confirm new suppliers were assessed before onboarding. Conclusion: document overdue assessments and unresolved findings. Conduct review annually for critical suppliers, as defined by risk tier.",Supplier_Management > Supplier Review
Supplier Contract Security Requirements Review,Verification that contracts with in-scope suppliers include required security clauses and that obligations are current.,"Evidence required: sample of supplier contracts for in-scope suppliers; contract review checklist covering security requirements (data protection, incident notification, right to audit, subprocessors). Analysis: confirm required security clauses are present in each sampled contract; confirm contracts have been reviewed since the last significant change to security requirements; flag contracts due for renewal that should be updated. Conclusion: document contracts with missing or outdated clauses. Conduct review annually.",Supplier_Management > Supplier Onboarding
Supplier Offboarding and Data Return Verification,Verification that supplier access is fully revoked and organisational data is returned or destroyed when a supplier relationship ends.,"Evidence required: list of supplier relationships terminated in the review period; corresponding offboarding records showing access revocation confirmation, data destruction or return confirmation, and any certificates of destruction. Analysis: confirm all access was revoked on or before the contract end date; confirm data return or destruction was confirmed in writing; confirm the supplier has been removed from the active supplier register. Conclusion: document incomplete offboardings. Review within 30 days of each termination.",Supplier_Management > Supplier Offboarding
Backup Execution and Restore Test,Verification that scheduled backups are completing successfully and that data can be restored within defined recovery objectives.,"Evidence required: backup job completion report for the period showing job status, size, and any failures; restore test record showing data restored, test date, time to restore, and comparison against RPO. Analysis: confirm no backup jobs have failed silently; confirm a restore test was performed for a representative sample of critical systems; confirm restore time meets defined RTO. Conclusion: document backup failures and restore test results. Conduct backup review weekly; restore tests at minimum quarterly.",Business_Continuity > Backup Execution and Verification
BCP and DR Plan Test,Periodic test of business continuity and disaster recovery plans to verify that critical systems can be recovered within defined objectives.,"Evidence required: test plan and scenario description; test execution record with participant list, outcomes per recovery objective, and identified gaps; post-test action log. Analysis: confirm the test covered critical systems and recovery objectives (RTO/RPO); confirm all action items from the test have been assigned owners and dates; confirm the plan was updated following the test. Conclusion: document gap between tested recovery time and defined RTO. Conduct at minimum annually.",Business_Continuity > BCP and DR Plan Review
Data Classification and Labelling Compliance Review,Verification that information assets are classified in accordance with the classification scheme and that labelling is applied where required.,Evidence required: sample of documents and data stores created or modified in the review period; classification labels or metadata tags applied; access controls in place per classification level. Analysis: confirm sampled items have a classification label; confirm access controls are appropriate to the classification; confirm any sensitive data shared externally was authorised and transmitted via approved channels. Conclusion: document unlabelled or misclassified items. Conduct review at minimum annually.,Information_Classification > Classification at Creation
Data Retention and Disposal Compliance Review,Verification that data is retained for required minimum periods and securely disposed of at the end of the retention period.,Evidence required: retention schedule; list of data disposals performed in the period with destruction method and classification; automated retention policy configuration where applicable. Analysis: confirm disposals match the retention schedule; confirm destruction method is appropriate to data classification; confirm certificates of destruction are retained for sensitive data. Conclusion: document data retained beyond its schedule and overdue disposals. Conduct review annually.,Information_Classification > Secure Disposal
Threat Intelligence Review,Periodic review of threat intelligence sources to identify emerging threats relevant to the organisation and update risk assessments accordingly.,"Evidence required: threat intelligence source list (subscriptions, feeds, ISACs); summary of intelligence reviewed in the period; record of any risk register updates triggered by intelligence findings. Analysis: confirm at least one reliable threat intelligence source is actively monitored; confirm intelligence findings are reviewed at defined intervals; confirm material new threats are reflected in the risk register or have a documented rationale for not being escalated. Conclusion: document intelligence gaps and actions taken. Conduct review at minimum monthly.",Risk_Management > Risk Assessment
Legal and Regulatory Compliance Review,"Periodic review of applicable legal, regulatory, and contractual information security requirements to confirm they remain current and are being met.","Evidence required: register of applicable legal and regulatory requirements with review date; evidence of compliance activities per requirement (e.g. audit reports, certifications, legal counsel sign-off). Analysis: confirm the register was reviewed within the last 12 months; confirm any new or changed requirements have been assessed for impact; confirm compliance activities are documented. Conclusion: document requirements with no evidence of compliance activity. Conduct review annually or when significant regulatory changes occur.",Risk_Management > Risk Register Review
Independent Information Security Review,"Periodic independent review of the information security programme, including controls, policies, and management processes.","Evidence required: independent review or audit report (internal audit, external auditor, or qualified third party); scope and methodology documentation; management response to findings. Analysis: confirm the reviewer is independent of the function being reviewed; confirm review scope covered key policies, controls, and management processes; confirm all findings have management responses and remediation plans. Conclusion: document outstanding findings. Conduct at minimum annually.",Risk_Management > Risk Register Review
Internal Information Security Compliance Review,"Periodic self-assessment of compliance with internal information security policies, procedures, and standards.",Evidence required: compliance review checklist or assessment report covering key policies and procedures; list of non-compliances identified and corresponding corrective actions. Analysis: confirm review covered all major policy areas; confirm non-compliances have assigned owners and target remediation dates; confirm findings from prior reviews have been resolved. Conclusion: document compliance rate and outstanding corrective actions. Conduct review at minimum annually.,Risk_Management > Risk Register Review
Security Policy Violation Management Review,"Verification that the disciplinary process for security policy violations is documented, applied consistently, and that violations are tracked.","Evidence required: policy violation register for the period; sample of cases showing investigation record, outcome, and disciplinary action applied; evidence that the disciplinary process is communicated to all staff. Analysis: confirm all reported violations were logged and investigated; confirm outcomes are proportionate and consistent; confirm the process is referenced in the employee handbook or security policy acknowledgement. Conclusion: document uninvestigated reports or inconsistent outcomes. Conduct review annually.",Human_Resources_Security > Security Training Delivery and Tracking
Endpoint Configuration Baseline Review,Verification that all endpoint devices are configured against the approved hardened baseline and that deviations are detected and remediated.,Evidence required: approved hardened configuration baseline document; configuration compliance scan output from endpoint management tool showing compliance rate per device or device group. Analysis: confirm all in-scope endpoints have been assessed against the baseline; identify devices with non-compliant settings; confirm critical deviations have remediation actions in progress; confirm baseline was reviewed within the last 12 months. Conclusion: document compliance rate and outstanding deviations. Conduct review at minimum quarterly.,Endpoint_Security > Endpoint Configuration Review
Malware Protection Review,"Verification that anti-malware and endpoint detection tools are deployed, current, and operating on all in-scope devices.","Evidence required: endpoint protection platform coverage report showing deployment status, signature update date, and scan status per device; list of in-scope devices. Analysis: confirm anti-malware is deployed on all in-scope endpoints; confirm signatures were updated within the last 24 hours; confirm no devices have had protection disabled without authorisation; confirm behaviour-based detection is enabled where supported. Conclusion: document unprotected or out-of-date devices. Conduct review monthly.",Endpoint_Security > Malware Protection Review
Web and Email Filtering Review,"Verification that web content filtering and email security controls are active, current, and effectively blocking malicious content.","Evidence required: web filtering platform configuration and block statistics for the period; email security gateway configuration showing DMARC, SPF, DKIM, and anti-malware settings; sample of blocked event logs. Analysis: confirm web filtering is applied to all users including remote workers; confirm DNS filtering is active; confirm email DMARC policy is enforced; confirm anti-malware scanning is active on email attachments. Conclusion: document misconfigured or bypassed controls. Conduct review quarterly.",Endpoint_Security > Web and Email Filtering Review
Software Installation Control Review,Verification that controls preventing unauthorised software installation are active and effective on all endpoint devices.,Evidence required: application control or allowlisting configuration from endpoint management platform; log of software installation attempts (authorised and blocked) for the period. Analysis: confirm application allowlisting or equivalent control is active on all in-scope endpoints; confirm unauthorised installation attempts are being blocked and logged; confirm the authorised software list was reviewed within the last six months. Conclusion: document devices without application control and any unauthorised software found. Conduct review at minimum semi-annually.,Endpoint_Security > Software Installation Control
Endpoint Encryption Compliance Review,Verification that full-disk encryption is enabled on all endpoint devices that store or access sensitive data.,"Evidence required: endpoint encryption compliance report from endpoint management or MDM platform showing encryption status per device. Analysis: confirm full-disk encryption is enabled on all laptops, desktops, and mobile devices that process sensitive data; confirm encryption key management is in place; confirm any unencrypted devices have a documented exception with compensating controls. Conclusion: document unencrypted devices and exceptions. Conduct review quarterly.",Endpoint_Security > Endpoint Configuration Review
Data Loss Prevention Review,Verification that DLP controls are active and configured to detect and prevent unauthorised transmission of sensitive data.,"Evidence required: DLP platform policy configuration; DLP incident report for the period showing events detected, severity, and disposition. Analysis: confirm DLP policies cover defined sensitive data types; confirm DLP is applied to email, web upload, and removable media channels; confirm DLP incidents were reviewed and responded to; confirm false positive rate is within acceptable thresholds. Conclusion: document control gaps and unreviewed incidents. Conduct review quarterly.",Endpoint_Security > Web and Email Filtering Review
Secure Development Lifecycle Compliance Review,"Verification that security activities are embedded in the software development lifecycle including requirements, design, coding, testing, and deployment.","Evidence required: SDL policy or process documentation; sample of development projects from the period showing security activities at each phase (security requirements documented, threat model or security review completed, SAST/DAST results, security sign-off before deployment). Analysis: confirm security requirements are defined for all projects handling sensitive data; confirm threat modelling or security design review is conducted for significant changes; confirm no code was deployed to production without security testing results reviewed. Conclusion: document projects with missing security activities. Conduct review at minimum annually.",Secure_Development > Secure Development Lifecycle Review
Static and Dynamic Application Security Testing Review,Verification that automated security testing (SAST/DAST) is integrated into the development pipeline and findings are tracked to resolution.,"Evidence required: SAST and/or DAST tool scan reports for the review period; findings tracker showing open issues, severity, and remediation status. Analysis: confirm SAST is run on all code commits or at minimum on each release; confirm DAST is performed on all production applications at minimum annually; confirm all critical and high findings have remediation owners and target dates; confirm no critical findings are deployed to production without documented risk acceptance. Conclusion: document applications without scan coverage. Conduct review at minimum quarterly.",Secure_Development > Security Testing in Development
Secure Coding Standards Compliance Review,Verification that developers are following approved secure coding standards and that code reviews include a security component.,Evidence required: secure coding standards document with review date; sample of code review records showing security checklist completion; developer training completion records. Analysis: confirm secure coding standards are documented and accessible to all developers; confirm code reviews include a security element (checklist or reviewer qualification); confirm all developers with production code access completed role-specific security training in the last 12 months. Conclusion: document projects with no security code review and untrained developers. Conduct review annually.,Secure_Development > Secure Coding Review
Application Security Requirements Review,Verification that information security requirements are defined and approved for all new or significantly changed applications before development begins.,"Evidence required: sample of project initiation records or design documents for new/changed applications in the period; evidence of security requirements review or sign-off. Analysis: confirm security requirements are documented for each sampled project; confirm requirements were reviewed by Information Security before development commenced; confirm requirements address authentication, authorisation, data protection, and logging as applicable. Conclusion: document projects started without security requirements sign-off. Conduct review at minimum semi-annually.",Secure_Development > Application Security Requirements Review
Third-Party Software Component Review,"Verification that third-party libraries and open-source components used in development are inventoried, current, and free of known critical vulnerabilities.",Evidence required: software bill of materials (SBOM) or dependency list per application; vulnerability scan results for third-party components (e.g. SCA tool output). Analysis: confirm all significant applications have an up-to-date dependency inventory; confirm no critical vulnerabilities exist in third-party components in production without a documented remediation plan; confirm end-of-life components have documented migration plans. Conclusion: document applications with no SBOM and unpatched critical component vulnerabilities. Conduct review monthly.,Secure_Development > Security Testing in Development
"Development, Test, and Production Environment Separation Review",Verification that development and test environments are separated from production and that production data is not used in non-production environments without controls.,Evidence required: environment architecture diagram showing separation; access control configuration showing that production and non-production access lists are distinct; data masking or anonymisation evidence for any production data used in test. Analysis: confirm developers do not have direct production access; confirm test environments do not connect to production systems without explicit approval; confirm production data used in testing is masked or anonymised. Conclusion: document environment separation failures. Conduct review at minimum annually.,Secure_Development > Secure Development Lifecycle Review
Internal Audit Execution,Execution of the internal audit programme to verify that management system requirements are being met and controls are operating effectively.,"Evidence required: internal audit plan for the period; completed audit reports including scope, findings, and conclusions; audit schedule showing planned vs completed audits. Analysis: confirm all planned audits were completed; confirm findings were graded by severity; confirm all non-conformities have corrective action records with owners and due dates. Conclusion: document overdue audits and unresolved non-conformities. Conduct per the approved audit schedule, at minimum annually.",Risk_Management > Independent Information Security Review
Management Review Execution,"Formal management review of the information security, privacy, quality, or other management system to evaluate performance, resource adequacy, and continual improvement actions.","Evidence required: management review meeting minutes or report covering system performance, audit results, risk status, objectives, and resource needs; action list from the review with owners and due dates. Analysis: confirm review was conducted at planned intervals; confirm all required inputs were addressed; confirm outputs include decisions on continual improvement and resource changes. Conclusion: document reviews not conducted on schedule and outstanding actions. Conduct at minimum annually.",Risk_Management > Risk Register Review
Nonconformity and Corrective Action Tracking,"Tracking and closure of nonconformities and corrective actions identified through audits, incidents, reviews, or other sources.","Evidence required: nonconformity register or corrective action log for the period showing description, root cause, action taken, owner, and closure status. Analysis: confirm all open items have assigned owners and target dates; confirm root cause analysis was performed for significant non-conformities; confirm closed items have evidence of effectiveness verification. Conclusion: document overdue items. Review monthly.",Risk_Management > Risk Register Review
Cardholder Data Environment Scoping Review,"Periodic review of the cardholder data environment (CDE) scope to confirm all systems storing, processing, or transmitting cardholder data are identified and in-scope.","Evidence required: CDE scope documentation including network diagram, data flow diagram, and asset inventory; results of cardholder data discovery scan. Analysis: confirm all assets in the CDE are documented; confirm data flows are current; confirm no cardholder data exists outside the defined CDE without authorisation; confirm scope was reviewed following any significant network or application changes. Conclusion: document scope gaps. Conduct at minimum annually and after significant changes.",Information_Classification > Classification at Creation
PCI DSS Compliance Self-Assessment or Audit,"Annual assessment of compliance with all applicable PCI DSS requirements, either via self-assessment questionnaire (SAQ) or qualified security assessor (QSA) report on compliance (ROC).","Evidence required: completed SAQ or ROC for the current assessment period, signed by an authorised officer; attestation of compliance (AOC). Analysis: confirm all applicable requirements are marked compliant; confirm any compensating controls are documented and approved; confirm the assessment was completed within the last 12 months. Conclusion: document open non-compliances and remediation plans. Conduct annually.",Risk_Management > Legal and Regulatory Compliance Review
Cardholder Data Discovery Scan,Automated scan of systems to detect the presence of cardholder data (PANs) in locations that are not authorised or expected.,"Evidence required: cardholder data discovery tool scan report showing scan scope, date, and findings. Analysis: confirm all in-scope systems were scanned; confirm any discovered PANs outside the defined CDE are investigated and either removed or brought into scope; confirm scan was performed within the required interval. Conclusion: document unauthorised cardholder data found and remediation actions. Conduct at minimum quarterly.",Information_Classification > Classification at Creation
